,day,added,path,size
108,2007-06-13,2023-03-22 19:52:09+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007061300_2007061400.csv.gz,0.0791015625
109,2007-06-17,2023-03-22 19:52:11+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007061700_2007061800.csv.gz,0.080078125
110,2007-06-19,2023-03-22 19:52:12+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007061900_2007062000.csv.gz,0.080078125
111,2007-06-21,2023-03-22 19:52:14+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007062100_2007062200.csv.gz,0.080078125
112,2007-06-23,2023-03-22 19:52:15+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007062300_2007062400.csv.gz,0.0732421875
113,2007-06-25,2023-03-22 19:52:17+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007062500_2007062600.csv.gz,0.080078125
114,2007-06-27,2023-03-22 19:52:18+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007062700_2007062800.csv.gz,0.0791015625
115,2007-06-29,2023-03-22 19:52:20+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007062900_2007063000.csv.gz,0.08203125
116,2007-07-01,2023-03-22 19:52:21+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007070100_2007070200.csv.gz,0.080078125
117,2007-07-03,2023-03-22 19:52:22+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007070300_2007070400.csv.gz,0.0791015625
118,2007-07-05,2023-03-22 19:52:24+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007070500_2007070600.csv.gz,0.1103515625
119,2007-07-07,2023-03-22 19:52:25+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007070700_2007070800.csv.gz,0.1123046875
120,2007-07-09,2023-03-22 19:52:27+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007070900_2007071000.csv.gz,0.095703125
121,2007-07-11,2023-03-22 19:52:28+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007071100_2007071200.csv.gz,0.1083984375
122,2007-07-13,2023-03-22 19:52:30+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007071300_2007071400.csv.gz,0.0810546875
123,2007-07-17,2023-03-22 19:52:32+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007071700_2007071800.csv.gz,0.111328125
124,2007-07-19,2023-03-22 19:52:33+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007071900_2007072000.csv.gz,0.1298828125
125,2007-07-21,2023-03-22 19:52:35+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007072100_2007072200.csv.gz,0.12890625
126,2007-07-25,2023-03-22 19:52:37+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007072500_2007072600.csv.gz,0.123046875
127,2007-07-27,2023-03-22 19:52:38+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007072700_2007072800.csv.gz,0.1259765625
128,2007-07-29,2023-03-22 19:52:40+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007072900_2007073000.csv.gz,0.1259765625
129,2007-07-31,2023-03-22 19:52:41+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007073100_2007080100.csv.gz,0.1298828125
130,2007-08-02,2023-03-22 19:52:43+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007080200_2007080300.csv.gz,0.1240234375
131,2007-08-04,2023-03-22 19:52:44+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007080400_2007080500.csv.gz,0.126953125
132,2007-08-06,2023-03-22 19:52:46+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007080600_2007080700.csv.gz,0.1259765625
133,2007-08-08,2023-03-22 19:52:47+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007080800_2007080900.csv.gz,0.126953125
134,2007-08-10,2023-03-22 19:52:48+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007081000_2007081100.csv.gz,0.1259765625
135,2007-08-12,2023-03-22 19:52:50+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007081200_2007081300.csv.gz,0.1259765625
136,2007-08-16,2023-03-22 19:52:52+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007081600_2007081700.csv.gz,0.125
137,2007-08-18,2023-03-22 19:52:53+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007081800_2007081900.csv.gz,0.125
138,2007-08-20,2023-03-22 19:52:55+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007082000_2007082100.csv.gz,0.126953125
139,2007-08-22,2023-03-22 19:52:56+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007082200_2007082300.csv.gz,0.126953125
140,2007-08-24,2023-03-22 19:52:58+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007082400_2007082500.csv.gz,0.12890625
141,2007-08-26,2023-03-22 19:52:59+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007082600_2007082700.csv.gz,0.126953125
142,2007-08-28,2023-03-22 19:53:00+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007082800_2007082900.csv.gz,0.1259765625
143,2007-08-30,2023-03-22 19:53:02+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007083000_2007083100.csv.gz,0.125
144,2007-09-01,2023-03-22 19:53:03+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007090100_2007090200.csv.gz,0.078125
145,2007-09-03,2023-03-22 19:53:05+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007090300_2007090400.csv.gz,0.0888671875
146,2007-09-05,2023-03-22 19:53:07+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007090500_2007090600.csv.gz,0.126953125
147,2007-09-10,2023-03-22 19:53:09+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007091000_2007091100.csv.gz,0.0576171875
148,2007-09-16,2023-03-22 19:53:12+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007091600_2007091700.csv.gz,0.0810546875
149,2007-09-22,2023-03-22 19:53:16+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007092200_2007092300.csv.gz,0.1103515625
150,2007-09-28,2023-03-22 19:53:19+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007092800_2007092900.csv.gz,0.1259765625
151,2007-10-04,2023-03-22 19:53:22+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007100400_2007100500.csv.gz,0.1279296875
152,2007-10-10,2023-03-22 19:53:26+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007101000_2007101100.csv.gz,0.095703125
153,2007-10-16,2023-03-22 19:53:29+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007101600_2007101700.csv.gz,0.1259765625
154,2007-10-22,2023-03-22 19:53:32+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007102200_2007102300.csv.gz,0.1123046875
155,2007-10-26,2023-03-22 19:53:34+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007102600_2007102700.csv.gz,0.0634765625
156,2007-10-28,2023-03-22 19:53:36+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007102800_2007102900.csv.gz,0.111328125
157,2007-11-03,2023-03-22 19:53:39+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007110300_2007110400.csv.gz,0.1123046875
158,2007-11-09,2023-03-22 19:53:43+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007110900_2007111000.csv.gz,0.1142578125
159,2007-11-15,2023-03-22 19:53:45+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007111500_2007111600.csv.gz,0.1259765625
160,2007-11-21,2023-03-22 19:53:49+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007112100_2007112200.csv.gz,0.126953125
161,2007-11-27,2023-03-22 19:53:52+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007112700_2007112800.csv.gz,0.126953125
162,2007-12-03,2023-03-22 19:53:55+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007120300_2007120400.csv.gz,0.11328125
163,2007-12-09,2023-03-22 19:53:59+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007120900_2007121000.csv.gz,0.1279296875
164,2007-12-15,2023-03-22 19:54:02+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007121500_2007121600.csv.gz,0.126953125
165,2007-12-21,2023-03-22 19:54:05+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007122100_2007122200.csv.gz,0.125
166,2007-12-27,2023-03-22 19:54:08+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007122700_2007122800.csv.gz,0.130859375
167,2008-01-02,2023-03-22 19:54:12+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008010200_2008010300.csv.gz,0.115234375
168,2008-01-08,2023-03-22 19:54:15+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008010800_2008010900.csv.gz,0.12890625
169,2008-01-14,2023-03-22 19:54:18+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008011400_2008011500.csv.gz,0.1298828125
170,2008-01-20,2023-03-22 19:54:22+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008012000_2008012100.csv.gz,0.1005859375
171,2008-01-26,2023-03-22 19:54:25+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008012600_2008012700.csv.gz,0.1328125
172,2008-02-01,2023-03-22 19:54:29+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008020100_2008020200.csv.gz,0.1328125
173,2008-02-07,2023-03-22 19:54:32+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008020700_2008020800.csv.gz,0.126953125
174,2008-02-13,2023-03-22 19:54:35+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008021300_2008021400.csv.gz,0.12890625
175,2008-02-19,2023-03-22 19:54:38+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008021900_2008022000.csv.gz,0.130859375
176,2008-02-25,2023-03-22 19:54:42+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008022500_2008022600.csv.gz,0.1298828125
177,2008-03-02,2023-03-22 19:54:45+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008030200_2008030300.csv.gz,0.1103515625
178,2008-03-08,2023-03-22 19:54:48+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008030800_2008030900.csv.gz,0.1279296875
179,2008-03-14,2023-03-22 19:54:51+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008031400_2008031500.csv.gz,0.1240234375
180,2008-03-20,2023-03-22 19:54:55+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008032000_2008032100.csv.gz,0.1279296875
181,2008-03-26,2023-03-22 19:54:58+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008032600_2008032700.csv.gz,0.125
182,2008-04-01,2023-03-22 19:55:01+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008040100_2008040200.csv.gz,0.12890625
183,2008-04-07,2023-03-22 19:55:05+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008040700_2008040800.csv.gz,0.126953125
184,2008-04-13,2023-03-22 19:55:08+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008041300_2008041400.csv.gz,0.111328125
185,2008-04-19,2023-03-22 19:55:11+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008041900_2008042000.csv.gz,0.1123046875
186,2008-04-25,2023-03-22 19:55:14+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008042500_2008042600.csv.gz,0.0966796875
187,2008-05-01,2023-03-22 19:55:18+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008050100_2008050200.csv.gz,0.126953125
188,2008-05-07,2023-03-22 19:55:21+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008050700_2008050800.csv.gz,0.12890625
189,2008-05-13,2023-03-22 19:55:24+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008051300_2008051400.csv.gz,0.0947265625
190,2008-05-19,2023-03-22 19:55:27+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008051900_2008052000.csv.gz,0.11328125
191,2008-05-25,2023-03-22 19:55:30+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008052500_2008052600.csv.gz,0.111328125
192,2008-05-31,2023-03-22 19:55:34+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008053100_2008060100.csv.gz,0.1103515625
193,2008-06-06,2023-03-22 19:55:37+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008060600_2008060700.csv.gz,0.126953125
194,2008-06-12,2023-03-22 19:55:40+00:00,s3://openaq-db-backups/measurements/measurements_v1_2008061200_2008061300.csv.gz,0.1259765625
